fandom,genre,subgenre1,subgenre2,subgenre3,subgenre4
addamsFamilyTags,multiGenres,comedy,multigenerationalFamilyDrama,,
americanGodsTags,multiGenres,fantasy,mythos,urbanFantasy,
gaimanWorksTags,multiGenres,mythos,urbanFantasy,horror,superhero
americanHippoTags,multiGenres,historicalFiction,speculativeFiction,,
bandomTags,realPersonFiction,,,,
bintiTags,multiGenres,scienceFiction,comingOfAge,,
blackDogGaimanTags,multiGenres,fantasy,mythos,urbanFantasy,
boneStreetRumbaTags,multiGenres,fantasy,paranormal,urbanFantasy,
bookThiefTags,multiGenres,magicalRealism,historicalFiction,,
brokenEarthTags,scienceFantasy,,,,
brotherWhereArtThouTags,multiGenres,historicalFiction,comedy,,
cabinPressureTags,comedy,,,,
originalWorkTags,genreUnknown,,,,
catPicturesTags,multiGenres,scienceFiction,youngAdult,thriller,
charlieChocFactoryTags,multiGenres,magicalRealism,middleGrade,,
christianityTags,multiGenres,mythos,magicalRealism,,
chroniclesNarniaTags,multiGenres,magicalRealism,portalFantasy,historicalFiction,mythos
cindiMayweatherTags,multiGenres,scienceFiction,dystopian,,
deathStrandingTags,action,,,,
doctorWhoTags,scienceFiction,,,,
nkJemisinTags,multiGenres,fantasy,mythos,magicalRealism,scienceFantasy
dreambloodSeriesTags,multiGenres,fantasy,mythos,magicalRealism,
ellaEnchantedTags,multiGenres,fantasy,mythos,,
enchantedForestTags,fantasy,,,,
furryFandomTags,magicalRealism,,,,
gabrielMovieTags,multiGenres,action,horror,,
gardenHeightsTags,multiGenres,comingOfAge,youngAdult,,
gargoylesCartoonTags,magicalRealism,,,,
ghostbustersUniverseTags,scienceFiction,,,,
ginenUniverseTags,scienceFantasy,,,,
giverSeriesTags,multiGenres,middleGrade,dystopia,scienceFiction,
godsJadeShadowTags,multiGenres,magicalRealism,mythos,,
goodOmensTags,multiGenres,fantasy,mythos,urbanFantasy,
gracelingRealmTags,fantasy,,,,
graveyardBookTags,multiGenres,magicalRealism,middleGrade,,
greatCitiesTags,magicalRealism,,,,
greatestShowmanMovieTags,multiGenres,biography,historicalFiction,,
greatTerribleBeautyTags,multiGenres,historicalFiction,portalFantasy,,
greysAnatomyTVTags,drama,,,,
guardiansGalaxyTags,multiGenres,scienceFiction,action,,
hamiltonTags,multiGenres,biography,historicalFiction,,
harryPotterTags,magicalRealism,,,,
hauntingHillHouseTags,horror,,,,
hhGttGTags,multiGenres,scienceFiction,apocalypse,,
homegoingTags,multiGenres,multigenerationalFamilyDrama,historicalFiction,,
diannaWynneJonesTags,multiGenres,fantasy,portalFantasy,,
howlsMovingCastleTags,multiGenres,fantasy,portalFantasy,,
htbawTags,multiGenres,magicalRealism,fantasy,,
hungerGamesTags,multiGenres,youngAdult,dystopian,,
inCryptidTags,urbanFantasy,,,,
inheritanceTrilogyTags,fantasy,,,,
joyLuckClubTags,multiGenres,multigenerationalFamilyDrama,historicalFiction,,
leverageTVTags,multiGenres,comedy,drama,,
magicSchoolBusTags,multiGenres,middleGrade,scienceFiction,science,
marvel_avengersTags,multiGenres,comicsSource,superheroes,action,
marvel_blackPantherTags,multiGenres,comicsSource,superheroes,action,
marvel_blackWidowTags,multiGenres,comicsSource,superheroes,action,
marvel_capAmericaTags,multiGenres,comicsSource,superheroes,action,
marvel_capMarvelTags,multiGenres,comicsSource,superheroes,action,
marvel_cloakDaggerTags,multiGenres,comicsSource,superheroes,action,
marvel_daredevilTags,multiGenres,comicsSource,superheroes,action,
marvel_drStrangeTags,multiGenres,comicsSource,superheroes,action,
marvel_fantasticFourTags,multiGenres,comicsSource,superheroes,action,
marvel_guardiansGalaxyTags,multiGenres,comicsSource,superheroes,action,
marvel_hydraTags,multiGenres,comicsSource,superheroes,action,
marvel_ironManTags,multiGenres,comicsSource,superheroes,action,
marvel_lukeCageTags,multiGenres,comicsSource,superheroes,action,
marvel_misfitsTags,multiGenres,comicsSource,superheroes,action,
marvel_msMarvelTags,multiGenres,comicsSource,superheroes,action,
marvel_thorTags,multiGenres,comicsSource,superheroes,action,
marvel_xMenTags,multiGenres,comicsSource,superheroes,action,
marvelUniverseTags,multiGenres,comicsSource,superheroes,action,
matildaTags,multiGenres,magicalRealism,middleGrade,,
monarchGlenTags,multiGenres,fantasy,mythos,magicalRealism,
mythos_egyptMythTags,mythos,,,,
mythos_euroMythTags,mythos,,,,
mythos_greekMythTags,mythos,,,,
mythos_lithuanianMythTags,mythos,,,,
mythos_mayanMythTags,mythos,,,,
mythos_norseMythTags,mythos,,,,
mythos_phillippineMythTags,mythos,,,,
mythosTags,multiGenres,mythos,magicalRealism,,
neverwhereTags,multiGenres,magicalRealism,fantasy,,
newsfleshTags,multiGenres,zombieGen,dystopian,,
nightCircusBooksTags,multiGenres,youngAdult,magicalRealism,,
pacificRimTags,scienceFiction,,,,
perksWallflowerTags,multiGenres,comingOfAge,drama,youngAdult,
peterPanTags,multiGenres,fantasy,magicalRealism,portalFantasy,
potcTags,multiGenres,historicalFiction,action,,
sandmanComicsTags,multiGenres,fantasy,horror,superhero,mythos
sherlockHolmesTags,multiGenres,drama,detective,mystery,thriller
sixthWorldTags,multiGenres,magicalRealism,dystopia,,
marvel_spiderManTags,superhero,,,,
spiritedAwayTags,multiGenres,fantasy,portalFantasy,,
starTrekTags,scienceFiction,,,,
starWarsTags,scienceFantasy,,,,
superheroGroupsTags,superhero,,,,
supernaturalTVTags,magicalRealism,,,,
theBellesTags,multiGenres,youngAdult,fantasy,,
thePowerTags,multiGenres,dystopian,scienceFantasy,,
trumanShowTags,multiGenres,drama,comedy,,
umbrellaAcademyTags,multiGenres,comicsSource,superheroes,,
underworldTags,multiGenres,vampires,magicalRealism,,
vagrantQueenTags,scienceFiction,,,,
wayfarersSeriesTags,scienceFiction,,,,
whiteCollarTags,drama,,,,
worstWitchTags,multiGenres,fantasy,middleGrade,,
wrinkleInTimeTags,multiGenres,youngAdult,multigenerationalFamilyDrama,scienceFantasy,portalFantasy
